"TID","fare_amount"
"AJX000119991",11.06317651
"AJX000119992",34.76928339
"AJX000119993",49.80667319
"AJX000119994",12.74043177
"AJX000119995",10.36320736
"AJX000119996",10.91315292
"AJX000119997",11.1859298
"AJX000119998",11.80234454
"AJX000119999",11.63567401
"AJX000120000",11.744958
"AJX000120001",10.95515297
"AJX000120002",17.51481603
"AJX000120003",14.08566925
"AJX000120004",11.20879126
"AJX000120005",13.97850802
"AJX000120006",10.63369327
"AJX000120007",15.77886236
"AJX000120008",11.97487353
"AJX000120009",10.25730454
"AJX000120010",48.19056191
"AJX000120011",13.35543348
"AJX000120012",12.53387737
"AJX000120013",14.8017784
"AJX000120014",14.1325331
"AJX000120015",11.14891822
"AJX000120016",63.00497663
"AJX000120017",13.87504417
"AJX000120018",9.973608246
"AJX000120019",13.1481395
"AJX000120020",14.65517488
"AJX000120021",11.17590938
"AJX000120022",11.84175632
"AJX000120023",16.09922128
"AJX000120024",11.12701326
"AJX000120025",32.12302815
"AJX000120026",13.98606753
"AJX000120027",11.44427918
"AJX000120028",10.74427709
"AJX000120029",10.75471542
"AJX000120030",11.15155663
"AJX000120031",10.32371033
"AJX000120032",10.42165591
"AJX000120033",11.39489005
"AJX000120034",11.17590938
"AJX000120035",11.31029003
"AJX000120036",10.73635583
"AJX000120037",11.1392522
"AJX000120038",13.4765158
"AJX000120039",10.82775253
"AJX000120040",11.05872159
"AJX000120041",15.65867884
"AJX000120042",14.34314683
"AJX000120043",16.74342441
"AJX000120044",10.73635583
"AJX000120045",18.16663239
"AJX000120046",10.96540621
"AJX000120047",31.06966881
"AJX000120048",12.0888746
"AJX000120049",13.72703408
"AJX000120050",11.60796064
"AJX000120051",69.08415524
"AJX000120052",14.23445388
"AJX000120053",12.61334276
"AJX000120054",10.35755237
"AJX000120055",11.95875074
"AJX000120056",10.82186729
"AJX000120057",11.2179494
"AJX000120058",10.81487419
"AJX000120059",10.97555953
"AJX000120060",10.35755237
"AJX000120061",10.82209754
"AJX000120062",11.59796771
"AJX000120063",14.73228609
"AJX000120064",10.99891498
"AJX000120065",69.08415524
"AJX000120066",10.03060338
"AJX000120067",11.3498443
"AJX000120068",11.38877908
"AJX000120069",11.22393965
"AJX000120070",12.50698021
"AJX000120071",11.62504997
"AJX000120072",12.28013857
"AJX000120073",11.29316452
"AJX000120074",11.25432398
"AJX000120075",14.73228609
"AJX000120076",14.31827996
"AJX000120077",34.1950488
"AJX000120078",11.459488
"AJX000120079",9.884049729
"AJX000120080",13.5512166
"AJX000120081",11.75787934
"AJX000120082",61.70282131
"AJX000120083",13.7436847
"AJX000120084",20.88372662
"AJX000120085",10.39057762
"AJX000120086",14.10112691
"AJX000120087",22.65833707
"AJX000120088",12.01164891
"AJX000120089",10.90958055
"AJX000120090",12.55114769
"AJX000120091",10.35755237
"AJX000120092",13.19157387
"AJX000120093",13.53129781
"AJX000120094",13.37830777
"AJX000120095",11.11763306
"AJX000120096",11.04058723
"AJX000120097",13.70944897
"AJX000120098",11.55134121
"AJX000120099",11.55730929
"AJX000120100",11.87799256
"AJX000120101",69.14853268
"AJX000120102",11.18723403
"AJX000120103",10.87474852
"AJX000120104",11.43826549
"AJX000120105",13.07450868
"AJX000120106",11.3339619
"AJX000120107",12.42155262
"AJX000120108",61.54454412
"AJX000120109",12.93925769
"AJX000120110",11.63216002
"AJX000120111",23.94485235
"AJX000120112",10.73635583
"AJX000120113",11.2230243
"AJX000120114",34.88460695
"AJX000120115",70.4200771
"AJX000120116",12.7579246
"AJX000120117",10.38083942
"AJX000120118",13.22976925
"AJX000120119",13.93321298
"AJX000120120",10.9288325
"AJX000120121",11.39348646
"AJX000120122",10.73635583
"AJX000120123",13.82998456
"AJX000120124",26.72582586
"AJX000120125",67.27657104
"AJX000120126",17.62802647
"AJX000120127",12.25697124
"AJX000120128",11.42221528
"AJX000120129",32.00741079
"AJX000120130",9.978284171
"AJX000120131",11.22941992
"AJX000120132",13.77404778
"AJX000120133",11.74805416
"AJX000120134",11.02457413
"AJX000120135",12.49628675
"AJX000120136",13.97850802
"AJX000120137",12.74043177
"AJX000120138",13.19485791
"AJX000120139",11.22420256
"AJX000120140",10.41331963
"AJX000120141",10.46268877
"AJX000120142",22.8766263
"AJX000120143",13.01063327
"AJX000120144",34.24792844
"AJX000120145",27.66086521
"AJX000120146",11.80709106
"AJX000120147",11.24758138
"AJX000120148",22.04580927
"AJX000120149",11.13706671
"AJX000120150",16.1850497
"AJX000120151",18.80158862
"AJX000120152",11.7117811
"AJX000120153",11.20218478
"AJX000120154",33.21758691
"AJX000120155",12.89330309
"AJX000120156",11.69177905
"AJX000120157",11.02222884
"AJX000120158",11.20401448
"AJX000120159",10.35755237
"AJX000120160",15.33705663
"AJX000120161",11.14832353
"AJX000120162",11.75850943
"AJX000120163",11.06809217
"AJX000120164",13.41644608
"AJX000120165",14.58449115
"AJX000120166",11.16013492
"AJX000120167",13.22018178
"AJX000120168",14.47584096
"AJX000120169",47.781155
"AJX000120170",22.84477907
"AJX000120171",11.33295858
"AJX000120172",10.40094049
"AJX000120173",10.75979031
"AJX000120174",33.40871871
"AJX000120175",12.28274179
"AJX000120176",10.42222239
"AJX000120177",10.27253629
"AJX000120178",13.20771289
"AJX000120179",11.71579611
"AJX000120180",11.42221528
"AJX000120181",11.16403789
"AJX000120182",12.827422
"AJX000120183",14.8017784
"AJX000120184",11.946373
"AJX000120185",18.15118231
"AJX000120186",12.26317419
"AJX000120187",10.82209754
"AJX000120188",10.16322797
"AJX000120189",10.90229304
"AJX000120190",11.17590938
"AJX000120191",10.35755237
"AJX000120192",11.76429589
"AJX000120193",10.95096161
"AJX000120194",13.85085868
"AJX000120195",10.91399807
"AJX000120196",12.72709117
"AJX000120197",12.06367775
"AJX000120198",12.64578329
"AJX000120199",11.03677857
"AJX000120200",13.4097537
"AJX000120201",12.03189228
"AJX000120202",11.61546034
"AJX000120203",11.33295858
"AJX000120204",12.30100166
"AJX000120205",11.09758539
"AJX000120206",13.48211367
"AJX000120207",12.71892855
"AJX000120208",29.7217964
"AJX000120209",12.18606675
"AJX000120210",10.91315292
"AJX000120211",21.76123142
"AJX000120212",10.03060338
"AJX000120213",10.73635583
"AJX000120214",10.67719968
"AJX000120215",13.65206499
"AJX000120216",11.19094555
"AJX000120217",22.33539544
"AJX000120218",16.76991518
"AJX000120219",11.45896285
"AJX000120220",11.54178943
"AJX000120221",13.99299496
"AJX000120222",15.04945285
"AJX000120223",14.8820235
"AJX000120224",22.83093323
"AJX000120225",12.25223916
"AJX000120226",13.87009357
"AJX000120227",44.77818769
"AJX000120228",35.32914492
"AJX000120229",15.21310874
"AJX000120230",19.37440181
"AJX000120231",11.57811625
"AJX000120232",11.33203791
"AJX000120233",12.18311805
"AJX000120234",16.96352686
"AJX000120235",46.13047907
"AJX000120236",11.70854789
"AJX000120237",25.2203789
"AJX000120238",10.47240575
"AJX000120239",17.65510403
"AJX000120240",11.17590938
"AJX000120241",10.35755237
"AJX000120242",12.02230022
"AJX000120243",11.1860627
"AJX000120244",14.25063905
"AJX000120245",10.3520477
"AJX000120246",10.9263338
"AJX000120247",12.14377824
"AJX000120248",10.91315292
"AJX000120249",11.42221528
"AJX000120250",11.31474132
"AJX000120251",11.76662507
"AJX000120252",66.49843728
"AJX000120253",10.35755237
"AJX000120254",14.5246398
"AJX000120255",10.22533114
"AJX000120256",16.51904267
"AJX000120257",18.10667016
"AJX000120258",15.7442585
"AJX000120259",12.86173266
"AJX000120260",19.03730563
"AJX000120261",11.17590938
"AJX000120262",10.57551516
"AJX000120263",11.9647373
"AJX000120264",11.44292076
"AJX000120265",10.75352211
"AJX000120266",13.38327692
"AJX000120267",11.30761807
"AJX000120268",11.15880538
"AJX000120269",11.53166671
"AJX000120270",13.7789528
"AJX000120271",10.52587887
"AJX000120272",12.12152484
"AJX000120273",10.35755237
"AJX000120274",11.95006992
"AJX000120275",13.47126312
"AJX000120276",13.26366242
"AJX000120277",10.38042018
"AJX000120278",12.6417071
"AJX000120279",14.3596446
"AJX000120280",11.862513
"AJX000120281",14.89491331
"AJX000120282",28.18052589
"AJX000120283",12.78961354
"AJX000120284",10.51894873
"AJX000120285",12.33380224
"AJX000120286",10.37102417
"AJX000120287",12.49461179
"AJX000120288",12.51774832
"AJX000120289",58.61348655
"AJX000120290",12.27346976
"AJX000120291",11.64896093
"AJX000120292",12.93543814
"AJX000120293",12.55388928
"AJX000120294",12.04597502
"AJX000120295",11.10110177
"AJX000120296",11.6934168
"AJX000120297",69.08415524
"AJX000120298",17.1878843
"AJX000120299",13.39564406
"AJX000120300",11.7400801
"AJX000120301",14.45291083
"AJX000120302",11.17590938
"AJX000120303",10.35755237
"AJX000120304",10.91315292
"AJX000120305",11.79854687
"AJX000120306",55.57763177
"AJX000120307",14.45626265
"AJX000120308",23.92875525
"AJX000120309",14.50666098
"AJX000120310",12.01801234
"AJX000120311",13.15629738
"AJX000120312",12.36599587
"AJX000120313",13.49175964
"AJX000120314",43.59112754
"AJX000120315",12.14147533
"AJX000120316",13.1283253
"AJX000120317",13.89578761
"AJX000120318",11.69227586
"AJX000120319",11.16819233
"AJX000120320",10.85016914
"AJX000120321",13.01703417
"AJX000120322",14.45439318
"AJX000120323",11.48002392
"AJX000120324",11.97487353
"AJX000120325",12.05347075
"AJX000120326",11.3339619
"AJX000120327",14.52636512
"AJX000120328",17.68724799
"AJX000120329",12.53855263
"AJX000120330",11.2409825
"AJX000120331",10.73650892
"AJX000120332",12.35285196
"AJX000120333",14.05403818
"AJX000120334",11.62159972
"AJX000120335",10.57037913
"AJX000120336",10.09003778
"AJX000120337",14.10569807
"AJX000120338",12.2726651
"AJX000120339",12.1966812
"AJX000120340",12.53665303
"AJX000120341",61.70282131
"AJX000120342",10.87961225
"AJX000120343",14.01025173
"AJX000120344",102.1553031
"AJX000120345",66.20906394
"AJX000120346",12.68545178
"AJX000120347",11.17590938
"AJX000120348",11.16013492
"AJX000120349",11.33295858
"AJX000120350",11.60610112
"AJX000120351",35.58806463
"AJX000120352",15.12283662
"AJX000120353",30.02522072
"AJX000120354",11.63216002
"AJX000120355",10.37609907
"AJX000120356",14.57708324
"AJX000120357",12.0063997
"AJX000120358",11.4568047
"AJX000120359",10.3677057
"AJX000120360",30.79246328
"AJX000120361",26.0259903
"AJX000120362",17.64344231
"AJX000120363",11.1860627
"AJX000120364",10.35755237
"AJX000120365",13.74454776
"AJX000120366",13.39328069
"AJX000120367",23.29388132
"AJX000120368",13.57509378
"AJX000120369",11.37196935
"AJX000120370",12.50908501
"AJX000120371",10.90040992
"AJX000120372",13.30874044
"AJX000120373",11.17035371
"AJX000120374",13.29515362
"AJX000120375",11.25195884
"AJX000120376",13.19439137
"AJX000120377",10.22965358
"AJX000120378",11.65265416
"AJX000120379",10.20735711
"AJX000120380",10.90015007
"AJX000120381",14.10112691
"AJX000120382",10.90238778
"AJX000120383",13.19439137
"AJX000120384",10.37102417
"AJX000120385",9.961624745
"AJX000120386",17.69917875
"AJX000120387",10.85107608
"AJX000120388",11.41112102
"AJX000120389",14.8017784
"AJX000120390",29.96649014
"AJX000120391",10.44816453
"AJX000120392",11.7373358
"AJX000120393",10.09177776
"AJX000120394",11.21979615
"AJX000120395",11.20401448
"AJX000120396",12.54274494
"AJX000120397",13.52217297
"AJX000120398",12.01071415
"AJX000120399",10.58673205
"AJX000120400",11.33295858
"AJX000120401",11.80286002
"AJX000120402",10.46268877
"AJX000120403",13.4687143
"AJX000120404",17.89033533
"AJX000120405",9.991656278
"AJX000120406",10.90229304
"AJX000120407",10.04075671
"AJX000120408",11.7391907
"AJX000120409",44.6980318
"AJX000120410",10.35755237
"AJX000120411",11.01274798
"AJX000120412",13.03873092
"AJX000120413",11.55683416
"AJX000120414",11.21650311
"AJX000120415",12.00902581
"AJX000120416",15.75598573
"AJX000120417",13.85005048
"AJX000120418",12.65079557
"AJX000120419",10.33338861
"AJX000120420",40.65510216
"AJX000120421",10.03060338
"AJX000120422",11.70481615
"AJX000120423",10.35755237
"AJX000120424",10.75334453
"AJX000120425",10.35755237
"AJX000120426",11.41063024
"AJX000120427",58.72894632
"AJX000120428",12.84257529
"AJX000120429",12.99926214
"AJX000120430",12.26549019
"AJX000120431",13.06708592
"AJX000120432",52.37578271
"AJX000120433",13.97850802
"AJX000120434",15.24441395
"AJX000120435",10.58003032
"AJX000120436",14.06601083
"AJX000120437",15.22727856
"AJX000120438",12.32261585
"AJX000120439",10.48070636
"AJX000120440",11.2842553
"AJX000120441",11.48965854
"AJX000120442",10.46268877
"AJX000120443",12.25148064
"AJX000120444",10.3677057
"AJX000120445",33.3299177
"AJX000120446",11.31377546
"AJX000120447",10.35755237
"AJX000120448",10.35755237
"AJX000120449",13.40749358
"AJX000120450",10.28829985
"AJX000120451",12.21149948
"AJX000120452",15.491231
"AJX000120453",11.61546034
"AJX000120454",10.8332262
"AJX000120455",11.61707385
"AJX000120456",11.36529031
"AJX000120457",10.6862092
"AJX000120458",10.67007516
"AJX000120459",11.33758003
"AJX000120460",12.84277402
"AJX000120461",12.98103743
"AJX000120462",12.14377824
"AJX000120463",22.98773033
"AJX000120464",11.17590938
"AJX000120465",22.4497926
"AJX000120466",11.6346001
"AJX000120467",13.40069822
"AJX000120468",17.11622161
"AJX000120469",10.39057762
"AJX000120470",18.36738051
"AJX000120471",11.51835549
"AJX000120472",14.33346873
"AJX000120473",11.35381088
"AJX000120474",63.51181978
"AJX000120475",11.3752507
"AJX000120476",10.37609907
"AJX000120477",9.983761573
"AJX000120478",26.34802846
"AJX000120479",51.98511431
"AJX000120480",11.12745265
"AJX000120481",11.0916713
"AJX000120482",11.06170164
"AJX000120483",11.35101737
"AJX000120484",13.88885463
"AJX000120485",10.69943201
"AJX000120486",45.15889326
"AJX000120487",9.961624745
"AJX000120488",11.45943255
"AJX000120489",10.37609907
"AJX000120490",17.60727857
"AJX000120491",11.7905653
"AJX000120492",23.49778605
"AJX000120493",10.91315292
"AJX000120494",10.44816453
"AJX000120495",40.65942238
"AJX000120496",10.96807351
"AJX000120497",11.77275257
"AJX000120498",11.73096522
"AJX000120499",14.898626
"AJX000120500",16.61921366
"AJX000120501",12.05191343
"AJX000120502",11.68270299
"AJX000120503",11.17590938
"AJX000120504",12.11323174
"AJX000120505",16.32138669
"AJX000120506",51.71266496
"AJX000120507",11.52810596
"AJX000120508",19.29370495
"AJX000120509",10.82775253
"AJX000120510",11.28585706
"AJX000120511",10.9757057
"AJX000120512",40.89441803
"AJX000120513",49.18437274
"AJX000120514",10.8101897
"AJX000120515",10.81603123
"AJX000120516",11.29553013
"AJX000120517",10.82209754
"AJX000120518",14.84561663
"AJX000120519",13.13408208
"AJX000120520",12.04287004
"AJX000120521",10.94578644
"AJX000120522",19.00716783
"AJX000120523",11.22998936
"AJX000120524",10.30785847
"AJX000120525",11.23404107
"AJX000120526",15.21815326
"AJX000120527",58.57741777
"AJX000120528",11.1911376
"AJX000120529",10.95096161
"AJX000120530",11.17366256
"AJX000120531",11.18233665
"AJX000120532",17.22932902
"AJX000120533",13.43948539
"AJX000120534",11.2409825
"AJX000120535",12.95784008
"AJX000120536",38.49551605
"AJX000120537",13.86324563
"AJX000120538",14.07224264
"AJX000120539",10.61663496
"AJX000120540",14.1331957
"AJX000120541",13.36596446
"AJX000120542",64.99108106
"AJX000120543",15.94354188
"AJX000120544",13.06758848
"AJX000120545",10.75803282
"AJX000120546",13.23513569
"AJX000120547",11.61496656
"AJX000120548",25.23811575
"AJX000120549",11.29553013
"AJX000120550",11.05391221
"AJX000120551",11.40282501
"AJX000120552",10.34201182
"AJX000120553",13.4687143
"AJX000120554",11.30590344
"AJX000120555",15.74014184
"AJX000120556",25.49839736
"AJX000120557",13.77357723
"AJX000120558",10.69392399
"AJX000120559",28.74083306
"AJX000120560",10.79674356
"AJX000120561",11.43930681
"AJX000120562",13.58469152
"AJX000120563",11.73959288
"AJX000120564",12.13114968
"AJX000120565",10.92891526
"AJX000120566",13.24358596
"AJX000120567",13.71809613
"AJX000120568",12.3956318
"AJX000120569",13.97850802
"AJX000120570",12.10294476
"AJX000120571",11.77275257
"AJX000120572",23.78279747
"AJX000120573",13.84780893
"AJX000120574",10.76959213
"AJX000120575",12.12599852
"AJX000120576",14.51621166
"AJX000120577",10.95096161
"AJX000120578",13.89554219
"AJX000120579",13.35297674
"AJX000120580",70.55972502
"AJX000120581",15.94354188
"AJX000120582",44.47890239
"AJX000120583",14.01464847
"AJX000120584",13.10186104
"AJX000120585",11.65484082
"AJX000120586",10.43495942
"AJX000120587",10.17869421
"AJX000120588",12.83567108
"AJX000120589",14.93384901
"AJX000120590",14.71164604
"AJX000120591",11.41873051
"AJX000120592",14.8017784
"AJX000120593",13.00777058
"AJX000120594",14.64982091
"AJX000120595",10.23616851
"AJX000120596",12.18385688
"AJX000120597",11.21457432
"AJX000120598",11.93011801
"AJX000120599",11.94842098
"AJX000120600",10.87961225
"AJX000120601",12.97293214
"AJX000120602",18.16752332
"AJX000120603",11.056431
"AJX000120604",10.41331963
"AJX000120605",11.27418006
"AJX000120606",11.46418208
"AJX000120607",11.20879126
"AJX000120608",9.991656278
"AJX000120609",96.32964554
"AJX000120610",11.35066517
"AJX000120611",12.2937509
"AJX000120612",10.20171634
"AJX000120613",13.97850802
"AJX000120614",13.8473658
"AJX000120615",13.67219081
"AJX000120616",13.97266127
"AJX000120617",10.76500124
"AJX000120618",10.82209754
"AJX000120619",11.17590938
"AJX000120620",23.48112504
"AJX000120621",13.63002538
"AJX000120622",12.41766835
"AJX000120623",10.09756827
"AJX000120624",10.62272379
"AJX000120625",10.862651
"AJX000120626",13.15687131
"AJX000120627",10.76460251
"AJX000120628",11.64454538
"AJX000120629",11.20879126
"AJX000120630",11.59288759
"AJX000120631",11.97487353
"AJX000120632",51.72116774
"AJX000120633",12.79821318
"AJX000120634",13.97850802
"AJX000120635",13.90681623
"AJX000120636",11.27026255
"AJX000120637",10.39057762
"AJX000120638",11.13587705
"AJX000120639",13.19338053
"AJX000120640",15.50996186
"AJX000120641",13.74299236
"AJX000120642",38.85789146
"AJX000120643",10.03060338
"AJX000120644",21.70815789
"AJX000120645",11.88909888
"AJX000120646",14.01231934
"AJX000120647",10.2202231
"AJX000120648",13.86876066
"AJX000120649",10.43224139
"AJX000120650",11.51599513
"AJX000120651",12.27951564
"AJX000120652",39.66208872
"AJX000120653",13.10048175
"AJX000120654",11.54789153
"AJX000120655",10.9417183
"AJX000120656",20.85822992
"AJX000120657",11.34825809
"AJX000120658",24.1499795
"AJX000120659",11.1860627
"AJX000120660",39.24089295
"AJX000120661",14.26296366
"AJX000120662",32.47759986
"AJX000120663",10.35755237
"AJX000120664",14.1266135
"AJX000120665",16.8216153
"AJX000120666",10.35755237
"AJX000120667",14.10112691
"AJX000120668",10.58673205
"AJX000120669",9.984965261
"AJX000120670",14.14327211
"AJX000120671",10.01832294
"AJX000120672",12.75695467
"AJX000120673",12.21070914
"AJX000120674",14.5691099
"AJX000120675",15.63525528
"AJX000120676",21.76410441
"AJX000120677",50.78673912
"AJX000120678",15.8424703
"AJX000120679",10.35755237
"AJX000120680",11.8078254
"AJX000120681",11.79754176
"AJX000120682",10.35755237
"AJX000120683",13.00777058
"AJX000120684",12.97459662
"AJX000120685",12.53780745
"AJX000120686",10.93112326
"AJX000120687",14.40545058
"AJX000120688",11.7917033
"AJX000120689",12.60520342
"AJX000120690",10.57270683
"AJX000120691",12.19862631
"AJX000120692",11.37807566
"AJX000120693",10.77216974
"AJX000120694",13.99465637
"AJX000120695",11.94842098
"AJX000120696",10.43307169
"AJX000120697",11.49441124
"AJX000120698",12.00069974
"AJX000120699",11.14141247
"AJX000120700",22.8158578
"AJX000120701",22.469176
"AJX000120702",12.00902581
"AJX000120703",11.24941323
"AJX000120704",92.9570342
"AJX000120705",14.23507647
"AJX000120706",12.59167141
"AJX000120707",22.96434053
"AJX000120708",17.67551202
"AJX000120709",11.59809612
"AJX000120710",16.1284041
"AJX000120711",13.18488229
"AJX000120712",12.99533188
"AJX000120713",14.8017784
"AJX000120714",10.20366137
"AJX000120715",12.17233934
"AJX000120716",11.3498443
"AJX000120717",22.41110729
"AJX000120718",14.02558336
"AJX000120719",12.03580318
"AJX000120720",14.50666098
"AJX000120721",22.07879025
"AJX000120722",11.03011494
"AJX000120723",52.58281205
"AJX000120724",12.64932048
"AJX000120725",13.76112681
"AJX000120726",11.31377546
"AJX000120727",10.40094049
"AJX000120728",10.90079284
"AJX000120729",10.71691832
"AJX000120730",64.94261119
"AJX000120731",11.68412804
"AJX000120732",14.11968732
"AJX000120733",11.95379566
"AJX000120734",11.59546011
"AJX000120735",14.03043072
"AJX000120736",12.08813376
"AJX000120737",14.05840019
"AJX000120738",21.11806973
"AJX000120739",13.97850802
"AJX000120740",11.70854789
"AJX000120741",15.42093934
"AJX000120742",10.39057762
"AJX000120743",14.44913632
"AJX000120744",11.42221528
"AJX000120745",13.43687537
"AJX000120746",16.87110199
"AJX000120747",10.82632858
"AJX000120748",10.35755237
"AJX000120749",11.22769424
"AJX000120750",46.81837168
"AJX000120751",10.76123923
"AJX000120752",10.3568031
"AJX000120753",17.40343814
"AJX000120754",10.76123923
"AJX000120755",11.86476601
"AJX000120756",12.99654905
"AJX000120757",11.61707385
"AJX000120758",11.59563893
"AJX000120759",11.70684816
"AJX000120760",12.70702487
"AJX000120761",10.84573538
"AJX000120762",16.27048956
"AJX000120763",10.30530403
"AJX000120764",10.46268877
"AJX000120765",10.6631211
"AJX000120766",34.71006414
"AJX000120767",10.73998743
"AJX000120768",11.4531982
"AJX000120769",23.75944661
"AJX000120770",10.90229304
"AJX000120771",11.55134121
"AJX000120772",10.41568882
"AJX000120773",10.91315292
"AJX000120774",14.32120027
"AJX000120775",10.09003778
"AJX000120776",29.17954276
"AJX000120777",9.961624745
"AJX000120778",11.17590938
"AJX000120779",33.85684031
"AJX000120780",10.77629472
"AJX000120781",10.65758256
"AJX000120782",15.4010395
"AJX000120783",10.38083942
"AJX000120784",12.02515635
"AJX000120785",11.20879126
"AJX000120786",12.04302359
"AJX000120787",11.45896285
"AJX000120788",11.22467219
"AJX000120789",12.71327308
"AJX000120790",31.16904421
"AJX000120791",10.73635583
"AJX000120792",11.6410439
"AJX000120793",9.995523431
"AJX000120794",23.9675496
"AJX000120795",9.884049729
"AJX000120796",63.478988
"AJX000120797",10.50696523
"AJX000120798",18.73399953
"AJX000120799",10.23132624
"AJX000120800",14.29602443
"AJX000120801",13.1258896
"AJX000120802",49.94956352
"AJX000120803",11.9567668
"AJX000120804",11.056431
"AJX000120805",14.73531236
"AJX000120806",14.40092155
"AJX000120807",11.91557964
"AJX000120808",12.37020665
"AJX000120809",10.55572913
"AJX000120810",13.44700768
"AJX000120811",11.51334313
"AJX000120812",11.86095942
"AJX000120813",11.55683416
"AJX000120814",11.51121747
"AJX000120815",12.39242154
"AJX000120816",9.961624745
"AJX000120817",13.53184301
"AJX000120818",13.70040638
"AJX000120819",13.78296412
"AJX000120820",11.85857969
"AJX000120821",13.97850802
"AJX000120822",12.57162325
"AJX000120823",27.51279185
"AJX000120824",11.52290265
"AJX000120825",10.95096161
"AJX000120826",10.49884245
"AJX000120827",13.89933163
"AJX000120828",13.80797448
"AJX000120829",10.79482015
"AJX000120830",13.76983383
"AJX000120831",11.62979856
"AJX000120832",11.40170326
"AJX000120833",13.21861303
"AJX000120834",10.39057762
"AJX000120835",13.21886604
"AJX000120836",11.63254234
"AJX000120837",13.19085493
"AJX000120838",11.06066883
"AJX000120839",21.82136199
"AJX000120840",29.84501892
"AJX000120841",13.97850802
"AJX000120842",12.09467903
"AJX000120843",40.44649682
"AJX000120844",12.16177202
"AJX000120845",13.20686642
"AJX000120846",12.96736509
"AJX000120847",10.87972318
"AJX000120848",11.80633433
"AJX000120849",10.38042018
"AJX000120850",11.73909822
"AJX000120851",13.17315445
"AJX000120852",44.51180548
"AJX000120853",10.91315292
"AJX000120854",11.39746055
"AJX000120855",12.70927898
"AJX000120856",54.56110983
"AJX000120857",13.93034941
"AJX000120858",13.89657129
"AJX000120859",18.32674959
"AJX000120860",10.25983095
"AJX000120861",16.68684292
"AJX000120862",51.1426484
"AJX000120863",11.76507288
"AJX000120864",11.36396746
"AJX000120865",11.41407738
"AJX000120866",10.87064915
"AJX000120867",11.5382444
"AJX000120868",11.32533114
"AJX000120869",33.8340104
